,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
0,2,10,15,63,0.15,0.40836805933051157,0.04355022401432507,1.0,0.033338759996695444,0.8,0.8066998639842495,1.0
1,2,10,15,63,0.15,0.40836805933051157,0.029016148997470737,1.0,0.022488781018182635,0.9,0.46011164999799803,0.9
2,2,10,15,63,0.15,0.40836805933051157,0.02693335199728608,1.0,0.026310735003789887,0.8,0.6346217060054187,1.0
3,2,10,15,63,0.15,0.40836805933051157,0.027061972010415047,1.0,0.03037721401778981,0.8,0.3388409980107099,1.0
4,2,10,15,63,0.15,0.40836805933051157,0.03258384601213038,1.0,0.021896569000091404,0.8,0.5859912669984624,1.0
0,2,10,15,50,0.3,0.30300756084811814,0.09382377497968264,1.0,0.02894754899898544,0.7,1.448625564982649,1.0
1,2,10,15,50,0.3,0.30300756084811814,0.06631091999588534,1.0,0.037466261012014,0.7,0.46268694000900723,1.0
2,2,10,15,50,0.3,0.30300756084811814,0.02205879401299171,1.0,0.018211980001069605,0.7,0.8229216290055774,1.0
3,2,10,15,50,0.3,0.30300756084811814,0.024391193001065403,1.0,0.013306854001712054,0.7,0.2990212239965331,1.0
4,2,10,15,50,0.3,0.30300756084811814,0.024894869013223797,1.0,0.012145173997851089,0.7,0.6262154440046288,1.0
0,3,10,15,124,0.2,0.08463950151760659,0.031341769004939124,1.0,0.053577807993860915,0.8,0.24136216400074773,0.9
1,3,10,15,124,0.2,0.08463950151760659,0.029670424002688378,1.0,0.06251313400571235,0.8,0.20501406100811437,1.0
2,3,10,15,124,0.2,0.08463950151760659,0.02949819399509579,1.0,0.05030896799871698,0.8,0.20011104398872703,1.0
3,3,10,15,124,0.2,0.08463950151760659,0.029789010994136333,1.0,0.05668688300647773,0.8,0.3009643080004025,0.9
4,3,10,15,124,0.2,0.08463950151760659,0.027921445987885818,1.0,0.04445429900079034,0.7,0.1875339509861078,1.0
0,3,10,15,106,0.25,0.05072099696478684,0.03532090099179186,1.0,0.07348142500268295,0.7,0.2662334750057198,1.0
1,3,10,15,106,0.25,0.05072099696478684,0.03371087502455339,1.0,0.06940648099407554,0.7,0.24134376298752613,1.0
2,3,10,15,106,0.25,0.05072099696478684,0.034683284000493586,1.0,0.07847490601125173,0.7,0.23385510899242945,1.0
3,3,10,15,106,0.25,0.05072099696478684,0.03535814699716866,1.0,0.0728243530029431,0.7,0.2048375079757534,1.0
4,3,10,15,106,0.25,0.05072099696478684,0.018995712976902723,1.0,0.036370535992318764,0.7,0.15171573200495914,1.0
0,3,10,15,145,0.15,0.12836805933051157,0.041970128018874675,1.0,0.0643996330036316,0.9,0.3340682889975142,0.9
1,3,10,15,145,0.15,0.12836805933051157,0.04345251800259575,1.0,0.04812717097229324,1.0,0.25982070501777343,1.0
2,3,10,15,145,0.15,0.12836805933051157,0.04083518899278715,1.0,0.06272350801737048,0.9,0.27017069500288926,1.0
3,3,10,15,145,0.15,0.12836805933051157,0.04270315999747254,1.0,0.06974362701294012,0.8,0.3547541729931254,0.9
4,3,10,15,145,0.15,0.12836805933051157,0.04541254197829403,1.0,0.05618750202120282,0.9,0.2925008070014883,0.9
0,3,10,15,91,0.3,0.02300756084811815,0.02613529999507591,1.0,0.04923451997456141,0.6,0.3164662469935138,0.9
1,3,10,15,91,0.3,0.02300756084811815,0.03667448600754142,1.0,0.05827381199924275,0.6,0.3139422459935304,1.0
2,3,10,15,91,0.3,0.02300756084811815,0.04033201499260031,1.0,0.060148604010464624,0.6,0.33516501198755577,1.0
3,3,10,15,91,0.3,0.02300756084811815,0.03123650699853897,1.0,0.04491303800023161,0.7,0.16978078000829555,1.0
4,3,10,15,91,0.3,0.02300756084811815,0.01756694700452499,1.0,0.02320295199751854,0.6,0.16943319598794915,1.0
0,3,10,15,171,0.1,0.19,0.05966366999200545,1.0,0.06807424599537626,1.0,0.400441014993703,1.0
1,3,10,15,171,0.1,0.19,0.06307254498824477,1.0,0.0686763389967382,1.0,0.34844536101445556,1.0
2,3,10,15,171,0.1,0.19,0.06769366399385035,1.0,0.08733564801514149,0.9,0.5388595020049252,0.9
3,3,10,15,171,0.1,0.19,0.06190999600221403,1.0,0.06733670100220479,1.0,0.36891729800845496,1.0
4,3,10,15,171,0.1,0.19,0.061062930995831266,1.0,0.06362756801536307,1.0,0.3484793340030592,1.0
0,4,10,15,150,0.3,0.003007560848118147,0.037270750995958224,1.0,0.09876804301165976,0.7,0.24996280900086276,1.0
1,4,10,15,150,0.3,0.003007560848118147,0.03906131497933529,1.0,0.09863390799728222,0.7,0.2673094189958647,1.0
2,4,10,15,150,0.3,0.003007560848118147,0.03513204798218794,1.0,0.07601778698153794,0.7,0.24230556600377895,1.0
3,4,10,15,150,0.3,0.003007560848118147,0.035629060002975166,1.0,0.09909240700653754,0.6,0.2534832099918276,1.0
4,4,10,15,150,0.3,0.003007560848118147,0.03835270000854507,1.0,0.08498979100841098,0.7,0.4115523099899292,0.9
0,4,10,15,193,0.25,0.030720996964786838,0.10498295901925303,1.0,0.1659367939864751,0.7,0.48522850099834614,1.0
1,4,10,15,193,0.25,0.030720996964786838,0.09694373098318465,1.0,0.17218124298960902,0.7,0.4659577959973831,1.0
2,4,10,15,193,0.25,0.030720996964786838,0.1009468509873841,1.0,0.16215109699987806,0.7,0.45391229100641795,1.0
3,4,10,15,193,0.25,0.030720996964786838,0.05668035501730628,1.0,0.08614396597840823,0.8,0.331791083997814,0.9
4,4,10,15,193,0.25,0.030720996964786838,0.05569957601255737,1.0,0.10025156699703075,0.8,0.5178168319980614,0.9
0,4,10,15,242,0.2,0.06463950151760658,0.12182095300522633,1.0,0.1520428619987797,0.9,0.48142671899404377,0.9
1,4,10,15,242,0.2,0.06463950151760658,0.14098138400004245,1.0,0.16477152801235206,0.8,0.6331342560006306,0.9
2,4,10,15,242,0.2,0.06463950151760658,0.11624850798398256,1.0,0.15347560500958934,0.9,0.5235305030073505,1.0
3,4,10,15,242,0.2,0.06463950151760658,0.11721538798883557,1.0,0.15677956299623474,0.8,0.44239218599977903,1.0
4,4,10,15,242,0.2,0.06463950151760658,0.11614132701652125,1.0,0.15832819900242612,0.8,0.5532055439834949,0.9
0,4,10,15,304,0.15,0.10836805933051157,0.2358571790100541,1.0,0.2368612109858077,1.0,0.7059480780153535,1.0
1,4,10,15,304,0.15,0.10836805933051157,0.23101732198847458,1.0,0.26133352701435797,0.9,0.8451225710159633,0.9
2,4,10,15,304,0.15,0.10836805933051157,0.21583210499375127,1.0,0.2229708690138068,1.0,0.6854301590065006,1.0
3,4,10,15,304,0.15,0.10836805933051157,0.21882776799611747,1.0,0.25154588199802674,0.9,0.6805030510004144,1.0
4,4,10,15,304,0.15,0.10836805933051157,0.2252771760104224,1.0,0.24023601098451763,0.9,0.7739252779865637,0.9
0,4,10,15,385,0.1,0.17,0.40653136500623077,1.0,0.432447200990282,1.0,1.0899868630222045,1.0
1,4,10,15,385,0.1,0.17,0.4633840679889545,1.0,0.41863076100707985,1.0,1.041278187010903,1.0
2,4,10,15,385,0.1,0.17,0.37659247798728757,1.0,0.4255401489790529,1.0,1.0007049120031297,1.0
3,4,10,15,385,0.1,0.17,0.367298072000267,1.0,0.4061817420006264,1.0,1.0472191229928285,0.9
4,4,10,15,385,0.1,0.17,0.3805247279815376,1.0,0.41176296898629516,1.0,0.9928192100196611,1.0
0,2,20,30,286,0.1,0.47,3.823320714000147,1.0,9.372250790998805,0.95,15.523546642012661,0.95
1,2,20,30,286,0.1,0.47,1.9862157680036034,1.0,10.33789726300165,0.9,15.352757896995172,1.0
2,2,20,30,286,0.1,0.47,3.6095218590053264,1.0,23.217579490999924,0.95,50.90829532901989,1.0
3,2,20,30,286,0.1,0.47,2.9799843310029246,1.0,11.066687835002085,0.95,26.92342445498798,1.0
4,2,20,30,286,0.1,0.47,2.672772318997886,1.0,10.22078003999195,0.95,29.698217700992245,1.0
0,2,20,30,262,0.15,0.40836805933051157,17.554789226007415,1.0,6.050459414022043,0.9,94.38523755499045,0.95
1,2,20,30,262,0.15,0.40836805933051157,5.25450044599711,1.0,7.125400763005018,0.85,51.21183174601174,1.0
2,2,20,30,262,0.15,0.40836805933051157,6.151876029995037,1.0,6.368727983994177,0.85,38.251454425015254,0.95
3,2,20,30,262,0.15,0.40836805933051157,4.226273645006586,1.0,10.896160681004403,0.85,18.72253678899142,1.0
4,2,20,30,262,0.15,0.40836805933051157,3.0113429379998706,1.0,11.216094427974895,0.85,21.112459777999902,0.95
0,2,20,30,241,0.2,0.3646395015176066,14.547108525002841,1.0,4.657844075001776,0.65,78.94169700000202,1.0
1,2,20,30,241,0.2,0.3646395015176066,9.64039803497144,1.0,9.349124616011977,0.7,74.87656062399037,0.95
2,2,20,30,241,0.2,0.3646395015176066,6.099202801997308,1.0,8.985726602986688,0.7,104.23143058799906,1.0
3,2,20,30,241,0.2,0.3646395015176066,4.385294095001882,1.0,3.364155805989867,0.8,40.07411444198806,0.9
4,2,20,30,241,0.2,0.3646395015176066,5.8024478089937475,1.0,4.377386661013588,0.65,27.835475108993705,1.0
0,2,20,30,207,0.3,0.30300756084811814,12.210091214976273,1.0,1.929747081012465,0.45,179.0201060429972,1.0
1,2,20,30,207,0.3,0.30300756084811814,8.210963249992346,1.0,2.15360538099776,0.45,42.23123649699846,1.0
