,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
1,2,10,15,74,0.2,0.6405571018644881,0.04951551798149012,0.8333333333333334,0.17960521398345008,0.6363636363636364,0.6115932390093803,0.8333333333333334
2,2,10,15,74,0.2,0.6405571018644881,0.014793208974879235,0.6923076923076923,0.02740453599835746,0.8,0.22836572100641206,0.75
3,2,10,15,74,0.2,0.6405571018644881,0.057168501982232556,0.8181818181818182,0.10805306400288828,0.7,0.4976716289820615,0.8181818181818182
4,2,10,15,74,0.2,0.6405571018644881,0.022751804994186386,0.8333333333333334,0.04458742600400001,0.7,0.33206616999814287,0.75
0,2,10,15,65,0.3,0.5648378604705452,0.034740511007839814,0.7692307692307693,0.050504634011304006,0.7,3.3757315349939745,0.75
1,2,10,15,65,0.3,0.5648378604705452,0.02393637498607859,0.8333333333333334,0.026203343993984163,0.5454545454545454,0.5487000519933645,0.8333333333333334
2,2,10,15,65,0.3,0.5648378604705452,0.036603440006729215,0.75,0.046031075005885214,0.5454545454545454,0.43470532100764103,0.75
3,2,10,15,65,0.3,0.5648378604705452,0.046225935977417976,0.75,0.054439796978840604,0.6,0.38696111598983407,0.8333333333333334
4,2,10,15,65,0.3,0.5648378604705452,0.03616678199614398,0.9090909090909091,0.06988554500276223,0.6,0.422783215995878,0.9090909090909091
0,3,10,15,256,0.3,0.5148378604705451,0.17161968001164496,0.8181818181818182,0.15835513398633339,0.7,1.0347830340033397,0.8181818181818182
1,3,10,15,256,0.3,0.5148378604705451,0.222665977984434,1.0,0.1790466060047038,0.7,1.4535316950059496,0.9
2,3,10,15,256,0.3,0.5148378604705451,0.1753594359906856,0.9090909090909091,0.1768717470113188,0.6,1.0435203590022866,0.9090909090909091
3,3,10,15,256,0.3,0.5148378604705451,0.19815994700184092,0.8181818181818182,0.20718424598453566,0.6,1.4383488800085615,1.0
4,3,10,15,256,0.3,0.5148378604705451,0.21005424301256426,1.0,0.17522491700947285,0.6,1.0153581759950612,1.0
0,3,10,15,317,0.15,0.644280758606057,0.2103292749961838,1.0,0.39589670399436727,0.9,1.339190207014326,0.9
1,3,10,15,317,0.15,0.644280758606057,0.2701042080007028,1.0,0.32493540600989945,1.0,1.1351981150219217,1.0
2,3,10,15,317,0.15,0.644280758606057,0.2437805439985823,1.0,0.37764072700520046,0.9,1.3829965280019678,1.0
3,3,10,15,317,0.15,0.644280758606057,0.26851421399624087,1.0,0.3851485580089502,0.9,1.482424471003469,1.0
4,3,10,15,317,0.15,0.644280758606057,0.2563713609997649,1.0,0.3425397149985656,0.9,1.2717542439932004,0.9
0,3,10,15,273,0.25,0.5488857962710239,0.3134367399907205,1.0,0.3216483230062295,0.7,1.6249892470077612,1.0
1,3,10,15,273,0.25,0.5488857962710239,0.36631464201491326,1.0,0.3194944970018696,0.7,2.488574554998195,0.9
2,3,10,15,273,0.25,0.5488857962710239,0.3041929920145776,1.0,0.3240524200082291,0.7,1.5279661520035006,1.0
3,3,10,15,273,0.25,0.5488857962710239,0.18089974898612127,1.0,0.18680147000122815,0.7,1.0638252189964987,1.0
4,3,10,15,273,0.25,0.5488857962710239,0.2225443480128888,1.0,0.18457930500153452,0.8,1.1881454999966081,0.9
0,3,10,15,293,0.2,0.5905571018644881,0.3688494849775452,1.0,0.37967024100362323,0.8,1.8115080170100555,1.0
1,3,10,15,293,0.2,0.5905571018644881,0.3715240570018068,1.0,0.40412050401209854,0.8,1.7630029580031987,1.0
2,3,10,15,293,0.2,0.5905571018644881,0.40514936900581233,1.0,0.4061972179915756,0.8,1.5151679959963076,1.0
3,3,10,15,293,0.2,0.5905571018644881,0.3414230670023244,1.0,0.24599564701202326,0.8,1.2976165840227623,1.0
4,3,10,15,293,0.2,0.5905571018644881,0.1908333110040985,1.0,0.2642496210173704,0.8,1.0659006390196737,1.0
0,3,10,15,349,0.1,0.72,0.32461694700759836,1.0,0.3677135359903332,1.0,1.8838104180176742,1.0
1,3,10,15,349,0.1,0.72,0.30618185398634523,1.0,0.29467835000832565,1.0,1.5852678770024795,0.9
2,3,10,15,349,0.1,0.72,0.3495406260190066,1.0,0.3752241460024379,1.0,1.8615086290228646,1.0
3,3,10,15,349,0.1,0.72,0.36047905299346894,1.0,0.35399231797782704,1.0,1.7294786630081944,0.9
4,3,10,15,349,0.1,0.72,0.3646134059817996,1.0,0.3869000200065784,1.0,1.841446880978765,1.0
0,4,10,15,861,0.2,0.6005571018644881,1.7435441020061262,1.0,1.602571335999528,0.8,3.689594227995258,1.0
1,4,10,15,861,0.2,0.6005571018644881,1.3107814279792365,1.0,1.4446762170118745,0.8,3.388949824991869,1.0
2,4,10,15,861,0.2,0.6005571018644881,1.2727739730034955,1.0,1.5578840139787644,0.8,3.472215560002951,0.9
3,4,10,15,861,0.2,0.6005571018644881,1.2976008869882207,1.0,1.5117602800019085,0.8,3.9208268760121427,0.9
4,4,10,15,861,0.2,0.6005571018644881,1.4344079779984895,1.0,1.6292180780146737,0.9,3.9422203639987856,0.9
0,4,10,15,803,0.25,0.5588857962710239,1.229631434980547,1.0,1.3293291769805364,0.7,3.4563802540069446,1.0
1,4,10,15,803,0.25,0.5588857962710239,1.2952362810028717,1.0,1.3734976389969233,0.7,3.519922856008634,0.9
2,4,10,15,803,0.25,0.5588857962710239,1.2796989679918624,1.0,1.4625952479836997,0.7,3.8684936139907222,1.0
3,4,10,15,803,0.25,0.5588857962710239,1.1544109449896496,1.0,1.3458571250084788,0.7,5.076627403002931,1.0
4,4,10,15,803,0.25,0.5588857962710239,2.08741902600741,1.0,2.2768374450097326,0.8,4.639029501995537,0.9
0,4,10,15,753,0.3,0.5248378604705451,1.771715923998272,1.0,2.42170872000861,0.6,6.205972377007129,1.0
1,4,10,15,753,0.3,0.5248378604705451,1.9361252110102214,1.0,2.5236175209865905,0.6,5.829540784994606,1.0
2,4,10,15,753,0.3,0.5248378604705451,1.661700994009152,1.0,2.255896988994209,0.7,5.857070269994438,1.0
3,4,10,15,753,0.3,0.5248378604705451,1.539093416009564,1.0,1.9763589509821031,0.6,3.1720042469969485,1.0
4,4,10,15,753,0.3,0.5248378604705451,1.0463182140083518,1.0,1.2743465020030271,0.7,3.6378951299993787,1.0
0,4,10,15,934,0.15,0.6542807586060571,1.909641519014258,1.0,2.3983452710090205,0.9,6.144851260993164,0.9
1,4,10,15,934,0.15,0.6542807586060571,2.366101237013936,1.0,2.4036658410041127,0.9,6.446706609975081,0.9
2,4,10,15,934,0.15,0.6542807586060571,2.4720283950155135,1.0,2.4549516839906573,1.0,4.7645821509941015,1.0
3,4,10,15,934,0.15,0.6542807586060571,1.6663963239989243,1.0,1.6511207979929168,0.9,4.2199702090001665,0.9
