,rank,clique,order,size,missing,added,find2_time,find2_jaccard,findq_time,findq_jaccard,findqg_time,findqg_jaccard
4,2,10,15,39,0.15,0.0,0.7,0.7,0.039150236174464226,1.0,0.07218041643500328,1.0
5,2,10,15,39,0.15,0.0,0.7,0.7,0.03900379501283169,1.0,0.04194173775613308,1.0
6,2,10,15,39,0.15,0.0,0.8,0.8,0.056833526119589806,0.8,0.13416381739079952,0.9
7,2,10,15,39,0.15,0.0,0.7,0.7,0.03557915426790714,1.0,0.03799763321876526,1.0
8,2,10,15,39,0.15,0.0,0.7,0.7,0.04168391413986683,1.0,0.044035037979483604,1.0
9,2,10,15,39,0.15,0.0,0.7,0.7,0.037964703515172005,1.0,0.04063906706869602,1.0
10,2,10,15,39,0.15,0.0,0.7,0.7,0.04037710092961788,1.0,0.04274233616888523,1.0
11,2,10,15,39,0.15,0.0,0.7,0.7,0.04407079704105854,1.0,0.046507496386766434,1.0
12,2,10,15,39,0.15,0.0,0.7,0.7,0.035425735637545586,1.0,0.03803501836955547,1.0
13,2,10,15,39,0.15,0.0,0.7,0.7,0.03757198713719845,1.0,0.040511006489396095,1.0
14,2,10,15,39,0.15,0.0,0.7,0.7,0.03742881305515766,1.0,0.03972267359495163,1.0
0,2,20,30,162,0.15,0.0,0.5,0.5,0.24265004694461823,0.95,0.255105959251523,1.0
1,2,20,30,162,0.15,0.0,0.55,0.55,0.3088241759687662,0.95,0.3616315480321646,0.95
2,2,20,30,162,0.15,0.0,0.5,0.5,0.2950358558446169,0.9,0.5491691622883081,0.95
3,2,20,30,162,0.15,0.0,0.55,0.55,0.2885292526334524,0.9,0.3361631855368614,0.95
4,2,20,30,162,0.15,0.0,0.6,0.6,0.3601367902010679,0.95,0.5602864697575569,0.95
5,2,20,30,162,0.15,0.0,0.55,0.55,0.40042242780327797,0.95,0.8245416823774576,0.95
6,2,20,30,162,0.15,0.0,0.5,0.5,0.3116125911474228,1.0,0.294195469468832,1.0
7,2,20,30,162,0.15,0.0,0.5,0.5,0.2123867440968752,0.95,0.2214261069893837,1.0
8,2,20,30,162,0.15,0.0,0.5,0.5,0.31760299764573574,0.9,0.910561902448535,0.9
9,2,20,30,162,0.15,0.0,0.5,0.5,0.24032853171229362,0.95,0.3199321646243334,0.95
10,2,20,30,162,0.15,0.0,0.55,0.55,0.3221030868589878,0.95,0.34407181665301323,0.95
11,2,20,30,162,0.15,0.0,0.5,0.5,0.25169723108410835,0.9,0.4304047208279371,0.95
12,2,20,30,162,0.15,0.0,0.55,0.55,0.2263104822486639,0.95,0.23478511534631252,1.0
13,2,20,30,162,0.15,0.0,0.5,0.5,0.26088988967239857,0.95,0.2847081609070301,0.95
14,2,20,30,162,0.15,0.0,0.5,0.5,0.26071903482079506,0.9,0.28096545673906803,1.0
0,2,30,45,370,0.15,0.0,,,0.9244261439889669,0.8666666666666667,3.04108346439898,0.9666666666666667
1,2,30,45,370,0.15,0.0,,,0.6141121052205563,0.9333333333333333,0.6444248184561729,1.0
2,2,30,45,370,0.15,0.0,,,0.7830630540847778,0.9666666666666667,0.7969412244856358,1.0
3,2,30,45,370,0.15,0.0,,,1.7831432148814201,0.8333333333333334,25.54732999764383,0.9333333333333333
4,2,30,45,370,0.15,0.0,,,0.828643050044775,0.9333333333333333,0.8568809423595667,1.0
5,2,30,45,370,0.15,0.0,,,1.257181791588664,0.9333333333333333,1.3252265620976686,1.0
6,2,30,45,370,0.15,0.0,,,1.0576852727681398,0.9,21.20165951177478,0.9666666666666667
7,2,30,45,370,0.15,0.0,,,0.8350153379142284,0.8666666666666667,0.9039486832916737,1.0
8,2,30,45,370,0.15,0.0,,,0.8053888082504272,0.9,1.7115298062562943,0.9666666666666667
9,2,30,45,370,0.15,0.0,,,0.796153835952282,0.9,0.8477172497659922,1.0
10,2,30,45,370,0.15,0.0,,,1.1268231999129057,0.8666666666666667,6.489206902682781,0.9333333333333333
11,2,30,45,370,0.15,0.0,,,1.2714563366025686,0.8666666666666667,4.327563617378473,0.9333333333333333
12,2,30,45,370,0.15,0.0,,,0.9482289627194405,0.9,0.9934969004243612,1.0
13,2,30,45,370,0.15,0.0,,,1.8053961601108313,0.8333333333333334,6.45334267988801,0.9333333333333333
14,2,30,45,370,0.15,0.0,,,0.7234833482652903,0.9333333333333333,0.7537198010832071,1.0
0,2,10,15,34,0.25,0.0,0.6,0.6,0.036800527945160866,0.9,0.04239153303205967,1.0
1,2,10,15,34,0.25,0.0,0.5,0.5,0.03132280707359314,0.8,0.04001815989613533,1.0
2,2,10,15,34,0.25,0.0,0.5,0.5,0.03155537694692612,0.8,0.046334415674209595,1.0
3,2,10,15,34,0.25,0.0,0.6,0.6,0.032922858372330666,0.8,0.04665152728557587,1.0
4,2,10,15,34,0.25,0.0,0.5,0.5,0.03315158747136593,0.8,0.0751153789460659,1.0
5,2,10,15,34,0.25,0.0,0.6,0.6,0.03714890778064728,0.8,0.11983766965568066,0.9
6,2,10,15,34,0.25,0.0,0.6,0.6,0.030658328905701637,0.9,0.04421617649495602,0.9
7,2,10,15,34,0.25,0.0,0.6,0.6,0.03849584795534611,0.8,0.050629863515496254,1.0
8,2,10,15,34,0.25,0.0,0.6,0.6,0.03137126937508583,0.8,0.06203785538673401,0.9
9,2,10,15,34,0.25,0.0,0.5,0.5,0.03300000913441181,0.8,0.04263887740671635,0.9
